-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/01/2021 
Location: Latitude  21.0155   Longitude 105.8504 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 87.73 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M_RANGE,WS10M
1990,3,30,37.77,22.4,0.04,67.38,6.38,3.43
1990,3,31,37.9,22.28,0.11,66.69,6.19,3.5
1990,4,1,40.32,22.12,0.17,63.94,5.27,3.41
1990,4,2,41.66,22.32,0.02,58.38,5.05,2.62
1990,4,3,39.69,22.05,0.95,56.94,3.64,2.47
1990,4,4,26.59,16.19,6.59,59.5,3.64,6.76
1990,4,5,22.15,14.01,6.71,67.38,4.66,3.06
1990,4,6,21.69,16.66,8.88,83.19,3.16,1.94
1990,4,7,34.29,18.79,0.17,70.44,4.66,2.07
1990,4,8,29.46,18.36,5.09,70.0,4.79,3.12
1990,4,9,31.73,20.99,4.49,76.5,6.98,5.22
1990,4,10,37.42,21.47,1.46,70.06,4.59,3.58
1990,4,11,38.18,22.44,2.6,62.38,4.34,2.8
1990,4,12,29.26,19.79,9.72,65.31,5.92,3.7
1990,4,13,30.9,19.49,0.64,67.06,4.3,3.34
1990,4,14,35.33,20.0,0.14,70.12,4.24,3.88
1990,4,15,40.53,22.33,0.0,61.94,3.84,2.68
1990,4,16,40.98,22.94,0.0,50.0,5.23,3.17
1990,4,17,35.14,22.21,0.02,58.38,4.06,3.59
1990,4,18,33.84,21.74,1.05,67.38,3.27,2.91
1990,4,19,36.29,23.7,0.67,61.19,3.62,3.16
1990,4,20,41.32,25.02,0.0,49.31,2.25,2.57
1990,4,21,41.05,25.43,0.0,44.56,4.08,4.12
1990,4,22,42.91,25.7,0.0,36.0,3.47,3.69
1990,4,23,36.76,23.41,0.37,50.0,3.66,4.65
1990,4,24,30.39,19.96,0.69,61.31,3.28,4.73
1990,4,25,27.98,21.3,0.15,70.44,2.14,3.32
1990,4,26,30.19,20.31,0.0,62.56,3.98,2.34
1990,4,27,34.47,21.37,0.03,61.88,5.65,4.03
1990,4,28,37.34,23.1,0.03,63.94,6.13,5.56
1990,4,29,35.95,24.5,0.02,66.38,4.79,5.74
1990,4,30,38.16,24.76,0.0,63.88,3.34,5.25
1990,5,1,39.4,24.81,0.01,59.62,4.07,5.32
1990,5,2,42.15,25.67,0.28,54.0,5.48,4.25
1990,5,3,40.62,23.36,6.78,62.06,5.61,4.35
1990,5,4,26.73,19.59,5.19,61.81,5.92,4.8
1990,5,5,32.8,17.99,0.0,50.81,4.13,2.34
1990,5,6,35.2,19.61,0.01,52.75,3.53,2.67
1990,5,7,35.62,21.58,0.04,53.94,4.37,2.66
1990,5,8,33.3,23.26,0.96,68.75,3.41,4.2
1990,5,9,37.16,23.93,4.07,69.0,4.55,2.84
1990,5,10,36.63,23.94,1.99,67.19,3.05,1.87
1990,5,11,28.89,22.51,0.33,70.69,4.63,2.59
1990,5,12,33.41,21.68,0.93,63.19,2.51,2.25
1990,5,13,36.05,22.73,0.45,55.56,3.7,2.3
1990,5,14,37.81,23.19,0.03,54.31,6.2,3.02
1990,5,15,36.69,23.73,2.75,63.31,5.38,4.62
1990,5,16,31.84,21.46,28.85,82.44,5.9,4.34
1990,5,17,26.4,19.18,16.1,78.0,6.85,3.96
1990,5,18,29.6,19.65,0.0,65.25,1.61,1.44
1990,5,19,32.87,21.85,0.0,67.19,3.88,3.03
1990,5,20,33.48,22.42,0.85,74.19,3.27,2.35
1990,5,21,30.55,25.01,6.07,84.62,3.48,4.45
1990,5,22,31.38,25.26,2.17,83.19,3.01,4.56
1990,5,23,32.13,24.17,7.49,81.31,3.34,4.41
1990,5,24,26.06,19.08,0.82,71.62,3.34,5.46
1990,5,25,32.33,18.84,0.2,62.38,2.12,3.03
1990,5,26,35.02,21.64,0.01,64.62,3.68,2.41
1990,5,27,37.25,22.48,0.05,61.38,4.93,2.78
1990,5,28,35.26,24.14,0.06,62.88,3.48,2.51
1990,5,29,37.41,24.99,0.49,64.12,4.9,2.78
1990,5,30,31.69,25.51,6.49,80.56,3.38,2.2
1990,5,31,33.38,25.8,2.7,79.56,4.34,2.24
1990,6,1,28.99,22.34,0.37,64.94,6.35,3.72
1990,6,2,35.01,22.69,0.11,60.19,2.75,2.0
1990,6,3,33.62,22.8,0.1,61.06,1.91,1.55
1990,6,4,34.65,24.37,0.0,61.0,3.5,1.75
1990,6,5,38.19,25.18,0.02,61.06,4.63,2.6
1990,6,6,41.01,26.59,0.45,56.62,2.66,2.26
1990,6,7,41.29,28.98,2.73,51.31,5.16,2.84
1990,6,8,36.16,27.97,0.03,55.69,5.05,3.77
1990,6,9,33.61,25.91,5.21,67.0,3.19,1.41
1990,6,10,35.28,25.11,0.19,66.81,3.12,2.72
1990,6,11,32.43,25.13,8.73,78.81,3.02,2.72
1990,6,12,32.11,25.26,4.82,82.38,1.84,2.66
1990,6,13,36.13,25.56,0.0,69.88,3.8,2.08
1990,6,14,36.49,26.71,0.08,66.44,3.86,2.45
1990,6,15,36.18,26.34,0.98,69.69,2.93,2.79
1990,6,16,37.89,26.71,0.0,62.62,2.37,2.7
1990,6,17,38.73,26.9,0.27,57.31,2.65,2.12
1990,6,18,33.31,27.26,30.08,75.62,1.92,1.67
1990,6,19,33.66,26.12,2.71,79.44,3.02,2.92
1990,6,20,34.1,26.05,9.12,80.12,2.31,4.84
1990,6,21,34.75,25.55,1.97,75.44,3.27,3.91
1990,6,22,35.65,25.0,0.42,70.31,2.65,2.84
1990,6,23,34.08,25.1,6.08,72.0,1.75,2.32
1990,6,24,34.81,25.78,23.37,77.19,2.55,1.77
1990,6,25,32.97,26.81,0.55,77.88,1.59,2.09
1990,6,26,33.45,26.12,4.24,77.44,2.2,1.5
1990,6,27,31.58,26.01,12.55,83.81,1.98,1.3
1990,6,28,31.57,25.97,2.09,80.94,1.16,1.37
1990,6,29,33.44,25.4,1.1,76.62,2.16,1.15
1990,6,30,34.76,26.83,3.4,74.0,3.2,2.06
1990,7,1,30.61,24.07,2.87,80.75,4.99,2.59
1990,7,2,33.15,24.03,10.26,79.38,2.73,1.73
1990,7,3,34.94,25.39,1.77,72.12,2.99,2.16
1990,7,4,32.27,25.68,8.75,78.94,2.25,2.66
1990,7,5,34.15,25.66,2.64,75.38,3.76,2.06
1990,7,6,35.87,25.87,0.26,71.19,2.46,3.45
1990,7,7,36.03,26.14,0.24,69.0,2.86,1.89
1990,7,8,35.54,26.12,4.72,71.75,3.12,1.88
1990,7,9,30.73,26.13,34.07,89.19,1.09,2.2
1990,7,10,32.79,25.84,15.48,81.19,1.73,1.73
1990,7,11,32.3,25.24,2.24,82.75,2.68,2.37
1990,7,12,33.6,25.69,0.32,76.88,1.57,2.77
1990,7,13,33.51,26.01,1.09,74.19,2.38,2.08
1990,7,14,32.49,26.26,1.34,76.44,1.86,2.01
1990,7,15,31.12,25.34,5.95,84.5,1.8,2.34
1990,7,16,34.13,25.37,0.07,71.5,2.98,1.77
1990,7,17,34.81,25.41,0.28,70.81,2.87,2.68
1990,7,18,33.18,25.9,2.71,75.94,2.11,2.71
1990,7,19,31.23,25.2,7.98,81.12,1.25,2.26
1990,7,20,30.67,24.83,1.74,81.25,1.94,2.73
1990,7,21,29.87,24.44,3.92,83.25,3.43,2.75
1990,7,22,28.71,24.19,35.34,88.88,3.2,2.69
1990,7,23,30.13,24.32,9.82,88.75,3.8,3.83
1990,7,24,29.01,24.85,8.84,90.75,2.6,3.99
1990,7,25,29.19,24.83,7.52,91.12,3.52,2.2
1990,7,26,31.58,24.8,14.93,84.94,2.17,2.04
1990,7,27,32.62,24.86,12.54,83.75,2.23,1.79
1990,7,28,30.87,25.61,14.22,86.12,1.96,1.5
1990,7,29,30.28,24.97,29.39,89.06,3.52,2.77
1990,7,30,29.9,25.01,0.25,87.75,1.77,1.92
1990,7,31,32.26,24.81,0.06,81.06,2.7,1.77
1990,8,1,33.61,25.19,0.45,76.75,1.82,1.55
1990,8,2,33.15,26.51,0.28,77.81,2.02,1.61
1990,8,3,34.01,26.23,0.44,78.5,2.14,2.46
1990,8,4,32.8,25.3,3.15,80.25,2.18,1.8
1990,8,5,33.26,24.8,0.06,78.31,2.02,1.77
1990,8,6,34.43,25.12,0.1,74.88,2.34,1.48
1990,8,7,35.12,24.96,0.07,73.88,2.48,2.02
1990,8,8,36.01,25.43,0.03,73.75,3.12,2.16
1990,8,9,33.8,26.56,0.45,76.88,2.29,1.76
1990,8,10,34.65,26.17,2.51,75.75,1.98,1.92
1990,8,11,32.69,26.57,4.68,80.44,2.17,1.63
1990,8,12,31.39,25.55,1.98,83.94,1.31,2.25
1990,8,13,32.73,25.36,0.47,78.62,1.52,2.18
1990,8,14,32.3,25.28,1.29,81.38,2.1,1.96
1990,8,15,32.71,25.05,0.0,79.62,1.47,1.98
1990,8,16,35.7,25.12,0.01,71.0,2.38,1.57
1990,8,17,37.05,25.26,0.1,65.0,2.05,1.64
1990,8,18,35.21,26.57,0.73,67.12,3.26,1.93
1990,8,19,34.55,26.87,0.01,67.12,3.59,2.13
1990,8,20,37.3,26.49,0.0,63.94,1.94,2.02
1990,8,21,34.73,27.82,0.06,70.94,1.36,1.44
1990,8,22,38.52,27.4,0.0,62.06,2.3,2.09
1990,8,23,39.65,26.49,0.0,57.69,2.35,1.65
1990,8,24,39.21,27.94,0.26,60.81,3.3,2.0
1990,8,25,35.39,26.88,0.62,71.38,3.46,2.55
1990,8,26,33.55,25.59,1.81,74.5,1.84,2.04
1990,8,27,36.62,24.42,2.64,67.06,2.4,1.58
1990,8,28,33.26,26.62,2.31,74.62,3.77,2.67
1990,8,29,31.57,25.08,6.61,79.69,7.52,7.81
1990,8,30,29.34,24.48,14.46,87.75,6.94,5.82
1990,8,31,30.8,24.84,0.06,84.06,1.36,1.86
1990,9,1,34.87,25.0,0.23,71.31,1.17,1.42
1990,9,2,35.71,26.52,0.23,69.69,1.5,2.23
1990,9,3,35.08,25.5,0.1,70.69,2.13,2.01
1990,9,4,35.19,24.51,0.07,66.94,2.28,2.04
1990,9,5,35.87,24.59,0.0,64.25,3.13,1.67
1990,9,6,37.65,24.38,0.11,59.94,3.12,1.89
1990,9,7,37.83,24.77,0.51,59.56,1.75,1.47
1990,9,8,36.89,25.77,0.12,59.69,3.31,2.2
1990,9,9,37.31,27.06,0.02,56.69,3.39,2.16
1990,9,10,36.98,26.34,0.03,59.75,1.96,1.84
1990,9,11,37.24,26.98,0.45,62.19,1.19,2.01
1990,9,12,33.99,26.91,1.45,70.75,1.35,1.55
1990,9,13,31.12,25.96,4.37,80.56,2.06,1.68
1990,9,14,30.43,24.72,2.68,85.56,3.2,2.95
1990,9,15,32.14,23.46,0.02,71.06,4.52,2.93
1990,9,16,35.94,24.33,0.28,63.5,3.22,2.64
1990,9,17,35.69,24.42,0.0,55.75,5.65,5.35
1990,9,18,35.58,22.8,0.09,56.56,6.91,4.71
1990,9,19,31.79,24.12,13.4,72.19,5.9,5.09
1990,9,20,28.24,24.23,58.76,91.81,5.32,6.24
1990,9,21,30.14,24.86,6.55,89.5,4.17,5.84
1990,9,22,29.48,24.45,1.43,89.69,2.2,3.41
1990,9,23,31.0,23.73,3.01,85.31,2.12,2.52
1990,9,24,32.03,23.25,0.08,80.25,0.98,1.5
1990,9,25,30.23,23.19,0.05,77.88,3.18,2.72
1990,9,26,32.01,22.57,0.35,78.25,2.48,1.76
1990,9,27,33.15,23.32,1.12,78.62,1.45,2.26
1990,9,28,32.19,23.33,1.75,77.0,2.35,1.74
1990,9,29,31.17,23.62,19.86,83.31,2.2,1.74
1990,9,30,31.2,23.4,2.52,83.19,2.62,1.66
1990,10,1,30.38,23.02,0.68,81.12,4.41,3.32
1990,10,2,31.08,21.56,2.56,80.81,2.16,2.41
1990,10,3,30.45,22.83,2.34,80.88,4.77,3.72
1990,10,4,27.14,22.29,6.97,89.62,3.13,4.8
1990,10,5,27.4,23.55,26.23,92.25,2.78,4.18
1990,10,6,27.64,22.79,10.68,91.75,4.77,3.45
1990,10,7,29.7,22.46,0.36,84.0,2.71,2.08
1990,10,8,30.43,21.85,0.01,78.44,2.86,2.14
1990,10,9,30.14,20.93,0.32,79.44,4.11,2.53
1990,10,10,29.63,20.55,0.34,79.88,3.78,2.45
1990,10,11,30.24,20.01,0.26,76.94,2.8,1.91
1990,10,12,30.83,19.6,0.01,74.5,2.38,2.02
1990,10,13,29.37,19.83,0.0,70.94,5.9,3.57
1990,10,14,30.64,18.4,0.0,68.12,3.75,3.7
1990,10,15,31.25,19.89,0.21,68.44,2.12,2.59
1990,10,16,31.55,21.63,0.0,75.25,2.64,2.02
1990,10,17,31.12,21.96,7.44,81.0,4.87,2.53
1990,10,18,31.55,21.79,1.21,77.75,4.87,3.12
1990,10,19,30.69,19.92,4.56,78.62,3.38,3.37
1990,10,20,27.31,22.7,42.6,92.44,4.55,3.21
1990,10,21,29.47,23.4,29.69,90.5,4.02,3.45
1990,10,22,30.48,23.04,4.69,88.88,3.35,3.28
1990,10,23,30.22,22.97,5.85,88.69,2.31,2.78
1990,10,24,23.92,19.47,47.38,89.12,4.48,4.25
1990,10,25,23.9,17.99,0.23,76.25,4.04,3.84
1990,10,26,24.96,15.87,0.08,70.75,2.27,2.47
1990,10,27,24.64,15.83,0.24,75.06,1.3,1.93
1990,10,28,21.21,16.76,0.38,85.44,2.46,2.91
1990,10,29,23.62,16.01,0.11,82.56,2.62,2.72
1990,10,30,26.88,16.3,0.15,81.25,1.26,1.9
1990,10,31,29.02,19.42,0.0,83.25,2.29,1.44
1990,11,1,29.92,20.55,0.0,83.81,2.02,2.2
1990,11,2,31.1,20.65,0.01,83.94,2.37,3.05
1990,11,3,30.69,22.26,2.83,86.38,2.36,2.29
1990,11,4,32.13,23.05,2.75,84.75,2.6,2.25
1990,11,5,28.58,23.4,13.39,91.19,2.94,2.04
1990,11,6,27.83,22.3,9.12,90.56,2.22,2.45
1990,11,7,29.22,22.46,2.06,89.19,2.55,2.56
1990,11,8,29.53,22.27,3.43,88.62,1.93,2.48
1990,11,9,22.94,14.84,6.84,72.44,5.62,7.38
1990,11,10,21.32,12.71,0.0,59.06,5.2,4.5
1990,11,11,22.11,11.9,0.0,61.19,3.04,2.91
1990,11,12,25.25,12.92,0.0,67.88,2.14,2.84
1990,11,13,26.28,15.77,0.0,69.5,2.84,2.61
1990,11,14,27.15,16.1,0.01,69.5,3.65,3.43
1990,11,15,27.76,15.48,0.01,68.38,3.24,3.87
1990,11,16,21.76,16.12,4.48,82.0,2.78,4.21
1990,11,17,24.55,18.69,10.29,90.56,3.5,4.45
1990,11,18,29.16,20.02,2.77,83.75,3.93,3.09
1990,11,19,29.65,20.26,0.96,86.44,2.3,2.14
1990,11,20,29.61,20.15,0.13,82.94,3.45,2.74
1990,11,21,22.07,16.51,0.15,71.5,4.63,4.02
1990,11,22,23.82,14.85,0.98,80.81,1.69,2.27
1990,11,23,26.24,16.39,0.23,81.38,2.61,2.54
1990,11,24,26.78,16.37,0.3,82.88,3.03,2.16
1990,11,25,25.31,17.11,0.08,80.0,2.9,2.72
1990,11,26,25.08,15.4,0.0,74.44,2.77,2.72
1990,11,27,25.84,13.86,0.01,73.06,1.83,1.98
1990,11,28,26.19,14.53,0.04,71.62,2.21,1.66
1990,11,29,26.49,15.24,0.24,75.38,2.92,2.0
1990,11,30,18.21,13.45,0.43,70.25,6.32,5.84
1990,12,1,18.94,9.63,0.01,51.25,4.7,4.69
1990,12,2,19.08,6.93,0.0,53.31,3.33,3.46
1990,12,3,19.18,6.04,0.01,55.44,2.83,3.45
1990,12,4,20.27,6.23,0.0,57.94,3.67,3.27
1990,12,5,21.81,6.93,0.0,56.5,2.35,2.41
1990,12,6,22.69,7.47,0.0,54.88,2.91,1.72
1990,12,7,24.06,8.87,0.0,62.06,2.27,1.68
1990,12,8,25.3,10.95,0.0,69.81,1.75,1.75
1990,12,9,25.62,11.88,0.0,74.25,2.04,1.8
1990,12,10,27.1,12.8,0.0,79.56,2.14,2.0
1990,12,11,27.86,14.94,0.0,80.5,2.95,2.3
1990,12,12,27.95,17.0,0.1,81.31,3.23,2.45
1990,12,13,28.65,18.5,0.06,82.12,1.82,2.74
1990,12,14,29.08,17.82,0.44,81.31,2.3,2.78
1990,12,15,26.77,17.61,0.18,82.0,3.4,3.72
1990,12,16,27.12,16.99,0.02,81.69,2.84,3.16
1990,12,17,26.8,17.37,0.14,81.94,2.53,2.85
1990,12,18,26.59,16.97,0.02,80.75,3.27,3.29
1990,12,19,28.6,17.31,0.09,80.75,3.15,3.05
1990,12,20,21.87,15.33,0.1,75.25,5.88,3.34
1990,12,21,24.41,12.64,0.65,75.94,2.02,1.65
1990,12,22,19.15,14.86,3.1,76.56,4.47,2.36
1990,12,23,21.48,13.05,0.0,62.88,3.59,2.94
1990,12,24,23.83,11.65,0.02,67.25,1.65,2.34
1990,12,25,25.35,13.8,0.0,79.19,1.84,1.48
1990,12,26,21.48,15.58,0.03,79.0,2.51,2.24
1990,12,27,27.38,14.91,0.09,81.5,3.12,2.55
1990,12,28,28.04,17.65,0.01,81.12,4.09,4.14
1990,12,29,29.12,16.75,0.03,80.56,4.45,4.27
1990,12,30,29.76,17.5,0.04,79.88,3.71,3.96
1990,12,31,30.43,15.34,0.0,72.94,3.12,2.07
1991,1,1,28.38,15.41,0.0,73.12,3.82,2.67
1991,1,2,23.97,13.66,0.02,71.88,1.77,2.23
1991,1,3,27.51,15.9,0.59,82.31,4.52,3.44
1991,1,4,29.21,19.23,0.5,80.5,4.52,5.53
1991,1,5,18.91,9.6,0.8,64.12,8.57,4.52
1991,1,6,21.05,10.44,0.16,68.81,1.23,1.95
1991,1,7,22.52,13.67,0.42,80.94,1.68,2.12
1991,1,8,20.07,13.7,1.16,74.31,3.95,3.28
1991,1,9,21.41,11.81,0.39,74.62,1.75,3.01
1991,1,10,28.89,16.05,0.12,80.31,2.82,3.13
1991,1,11,18.81,12.3,0.7,75.81,5.55,3.83
1991,1,12,19.98,11.76,0.07,73.94,1.8,2.38
1991,1,13,20.9,12.4,0.26,80.5,1.53,2.22
1991,1,14,17.28,12.12,0.23,76.75,5.36,4.23
1991,1,15,19.04,9.19,0.04,56.62,3.55,3.33
1991,1,16,23.23,10.85,0.62,74.19,3.34,2.38
1991,1,17,24.7,13.87,0.12,81.12,3.58,3.66
1991,1,18,27.87,15.4,0.11,79.44,4.73,4.26
1991,1,19,27.62,16.61,0.11,80.25,5.39,4.8
1991,1,20,30.33,17.22,0.0,78.19,4.05,4.02
1991,1,21,30.8,18.01,0.01,77.0,3.96,3.15
1991,1,22,29.88,19.62,0.25,78.69,5.53,4.99
1991,1,23,29.55,20.12,0.08,76.69,3.52,5.77
1991,1,24,29.23,19.55,0.14,76.69,4.85,5.17
1991,1,25,28.94,16.37,0.82,77.75,4.15,4.23
1991,1,26,20.76,12.49,0.54,72.31,3.4,3.45
1991,1,27,21.9,12.58,0.22,75.38,2.14,2.2
1991,1,28,24.8,13.89,0.28,78.75,2.51,3.16
1991,1,29,22.67,14.07,1.16,77.06,2.52,3.3
1991,1,30,24.52,13.49,0.65,75.94,3.69,3.58
1991,1,31,18.86,11.74,0.3,69.44,5.52,4.78
1991,2,1,20.1,9.48,0.02,60.69,3.56,3.66
1991,2,2,19.72,10.49,0.03,71.94,1.76,2.51
1991,2,3,23.73,11.88,0.08,76.88,3.07,2.39
1991,2,4,24.36,13.15,0.04,72.0,2.16,2.88
1991,2,5,26.01,12.56,0.02,77.56,4.81,3.06
1991,2,6,28.54,14.68,0.0,77.0,3.84,2.62
1991,2,7,29.44,15.84,0.0,76.25,4.98,4.12
1991,2,8,30.3,16.52,0.0,75.19,5.84,4.83
1991,2,9,32.18,18.09,0.61,75.62,4.73,3.92
1991,2,10,31.8,19.19,0.05,74.62,5.55,2.94
1991,2,11,30.83,19.5,0.23,75.44,5.23,4.48
1991,2,12,32.25,20.31,0.0,74.75,5.95,6.12
1991,2,13,36.69,18.3,0.01,56.19,4.09,2.22
1991,2,14,34.12,17.23,0.0,52.06,3.92,2.8
1991,2,15,25.6,12.15,0.0,53.31,3.63,3.3
1991,2,16,29.19,14.02,0.01,64.12,4.41,2.73
1991,2,17,26.0,16.27,0.28,74.88,3.96,3.3
1991,2,18,29.73,16.34,0.21,75.88,3.02,2.59
1991,2,19,24.15,15.08,0.31,69.19,4.52,4.69
1991,2,20,20.2,11.61,0.24,52.62,5.11,4.99
1991,2,21,22.62,9.92,0.0,53.94,3.5,2.95
1991,2,22,23.2,9.85,0.0,52.12,5.38,3.78
1991,2,23,25.36,9.84,0.0,51.62,2.49,3.23
1991,2,24,26.03,11.8,0.0,57.88,6.05,3.2
1991,2,25,27.52,13.23,0.07,68.88,5.43,3.2
1991,2,26,29.42,16.65,0.81,74.12,5.92,5.4
1991,2,27,33.54,18.3,0.0,73.12,4.8,4.91
