-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/01/2021 
Location: Latitude  16.0645   Longitude 108.2234 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 155.61 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,WS10M_RANGE
1990,3,30,34.4,23.3,0.0,66.88,3.72,3.64
1990,3,31,35.47,24.55,0.0,65.06,3.47,3.57
1990,4,1,36.52,24.84,0.0,60.56,3.24,3.08
1990,4,2,35.95,24.79,0.0,62.62,3.34,4.95
1990,4,3,35.66,24.92,0.0,62.75,2.86,4.04
1990,4,4,33.69,24.26,0.06,64.75,3.4,3.3
1990,4,5,29.87,23.33,0.2,78.75,4.25,4.05
1990,4,6,30.16,22.62,0.45,78.62,3.88,2.95
1990,4,7,31.08,23.39,0.02,77.19,3.22,2.58
1990,4,8,30.06,23.3,0.09,78.0,2.89,4.15
1990,4,9,33.78,22.79,0.08,72.62,4.77,4.24
1990,4,10,35.62,23.64,0.04,67.44,4.04,3.8
1990,4,11,34.13,24.73,0.06,70.56,3.09,4.14
1990,4,12,31.49,23.2,0.37,75.0,3.45,5.45
1990,4,13,30.81,22.86,0.38,76.19,3.1,2.65
1990,4,14,32.92,23.94,0.1,73.62,3.36,3.41
1990,4,15,35.78,25.0,0.01,64.31,2.68,3.41
1990,4,16,38.31,26.33,0.01,58.69,2.23,3.45
1990,4,17,38.96,26.62,0.03,56.06,2.77,2.8
1990,4,18,37.29,26.55,0.01,59.0,2.65,4.19
1990,4,19,38.43,27.19,0.12,61.0,2.8,3.7
1990,4,20,38.83,26.59,0.79,61.5,2.55,3.24
1990,4,21,38.4,27.4,0.0,55.88,2.22,2.55
1990,4,22,39.05,27.3,0.0,52.75,2.82,3.26
1990,4,23,38.42,27.08,0.0,56.5,2.36,4.23
1990,4,24,35.65,26.15,0.04,61.0,2.98,3.79
1990,4,25,33.25,25.43,0.02,71.44,3.84,4.34
1990,4,26,31.3,24.9,0.0,69.75,2.96,3.48
1990,4,27,31.69,25.17,0.02,72.0,3.81,4.68
1990,4,28,31.92,24.83,0.58,74.0,4.62,3.98
1990,4,29,32.31,24.4,0.0,73.88,4.54,3.91
1990,4,30,32.87,23.19,0.0,71.81,4.17,3.62
1990,5,1,34.55,23.22,0.0,67.69,4.19,2.91
1990,5,2,35.61,23.68,0.0,65.75,3.74,3.18
1990,5,3,35.9,24.23,0.14,63.38,3.59,3.35
1990,5,4,27.94,22.61,4.22,77.69,3.24,5.91
1990,5,5,29.15,22.34,0.05,75.31,3.79,3.93
1990,5,6,31.08,22.35,0.0,73.62,2.4,3.76
1990,5,7,31.08,24.21,0.01,77.31,2.16,3.98
1990,5,8,31.35,23.64,0.18,76.06,3.02,2.58
1990,5,9,33.12,24.73,4.59,72.94,3.13,2.2
1990,5,10,32.76,24.52,9.44,78.69,2.61,2.17
1990,5,11,33.04,25.18,5.37,78.0,1.89,2.53
1990,5,12,33.44,24.4,5.39,78.56,2.45,2.2
1990,5,13,32.91,24.65,0.36,75.19,2.06,2.89
1990,5,14,32.73,25.01,0.5,76.12,2.36,4.26
1990,5,15,32.6,25.83,0.33,77.12,3.95,3.54
1990,5,16,34.04,24.94,0.58,73.75,3.65,3.7
1990,5,17,32.54,24.69,2.51,73.94,3.26,5.31
1990,5,18,30.61,23.94,0.09,73.69,4.29,4.52
1990,5,19,31.15,23.77,0.08,74.81,2.67,3.83
1990,5,20,30.78,25.93,0.08,82.19,3.26,3.0
1990,5,21,32.03,25.76,0.11,79.75,3.59,1.49
1990,5,22,33.52,25.73,0.04,76.44,3.84,1.99
1990,5,23,32.04,25.92,0.45,78.38,3.66,3.3
1990,5,24,32.15,25.05,4.04,77.38,3.66,5.13
1990,5,25,29.54,24.98,10.13,85.81,5.55,4.84
1990,5,26,30.21,24.67,0.85,78.38,5.23,2.77
1990,5,27,31.31,24.08,0.07,76.38,3.49,4.58
1990,5,28,33.55,24.78,0.04,72.69,1.85,2.71
1990,5,29,32.4,25.83,0.1,78.5,2.23,3.01
1990,5,30,34.27,25.9,0.18,75.25,1.89,3.22
1990,5,31,34.62,26.14,0.09,73.5,1.89,3.35
1990,6,1,34.44,24.86,0.86,73.94,3.27,5.17
1990,6,2,31.2,24.44,3.0,78.06,3.34,2.25
1990,6,3,32.54,24.19,8.44,76.75,1.97,1.27
1990,6,4,32.8,25.64,0.95,78.94,2.23,3.88
1990,6,5,33.44,25.83,0.74,75.75,1.78,2.43
1990,6,6,34.27,26.44,1.26,71.25,1.72,2.91
1990,6,7,33.37,26.83,6.74,72.31,1.37,1.55
1990,6,8,34.98,25.87,0.66,69.56,1.73,1.77
1990,6,9,34.6,25.81,0.84,75.12,2.8,4.62
1990,6,10,32.44,25.55,0.38,78.12,2.04,2.73
1990,6,11,31.3,25.74,1.01,80.81,1.9,2.82
1990,6,12,32.54,26.09,0.67,76.44,1.8,2.63
1990,6,13,34.14,26.06,0.33,69.62,1.97,3.23
1990,6,14,30.1,26.21,5.75,80.5,2.34,3.28
1990,6,15,29.01,25.8,3.92,84.81,2.15,1.22
1990,6,16,32.15,25.23,10.21,80.19,3.39,2.05
1990,6,17,30.57,26.0,5.45,72.75,5.35,2.91
1990,6,18,34.84,27.01,0.07,64.25,3.23,4.39
1990,6,19,34.69,26.54,0.34,69.44,1.91,3.36
1990,6,20,32.75,26.4,3.44,76.19,2.14,3.11
1990,6,21,30.26,25.65,7.41,82.94,2.59,1.16
1990,6,22,33.65,25.01,0.66,73.12,2.57,2.93
1990,6,23,34.41,25.81,4.21,75.62,1.91,2.34
1990,6,24,33.1,26.34,1.36,77.88,1.88,1.83
1990,6,25,34.47,26.31,0.43,70.88,1.63,2.47
1990,6,26,32.05,26.51,3.33,73.44,1.29,2.58
1990,6,27,32.32,26.46,0.8,74.0,1.45,2.21
1990,6,28,34.12,25.84,0.2,67.69,2.26,1.84
1990,6,29,36.07,26.32,0.34,65.56,2.07,2.43
1990,6,30,35.15,27.69,0.03,65.56,1.89,2.6
1990,7,1,33.02,27.3,0.08,70.88,2.09,2.83
1990,7,2,32.43,27.26,0.05,69.38,1.31,1.75
1990,7,3,33.81,26.08,0.11,65.0,2.03,1.7
1990,7,4,32.88,26.37,0.1,68.81,2.33,3.01
1990,7,5,31.54,26.16,0.17,74.19,2.52,3.66
1990,7,6,33.8,26.12,0.03,67.25,2.27,1.44
1990,7,7,35.9,26.97,0.02,63.12,2.43,3.03
1990,7,8,35.66,27.38,0.13,63.75,2.88,3.31
1990,7,9,32.57,27.41,0.31,73.5,2.3,3.12
1990,7,10,35.65,26.6,0.23,65.75,2.0,3.49
1990,7,11,32.74,27.16,0.39,70.38,1.41,2.37
1990,7,12,34.66,27.48,0.41,64.0,1.97,2.35
1990,7,13,33.65,27.43,1.92,69.12,1.85,2.2
1990,7,14,32.82,26.91,0.14,69.38,1.99,2.31
1990,7,15,33.83,26.87,0.36,63.94,1.8,2.07
1990,7,16,32.44,25.98,1.23,70.38,1.95,2.46
1990,7,17,35.06,26.08,1.0,63.94,3.04,3.48
1990,7,18,33.8,26.26,3.43,68.5,2.4,2.97
1990,7,19,32.04,26.37,18.61,76.19,1.82,2.38
1990,7,20,30.48,25.64,17.3,77.44,1.32,1.26
1990,7,21,29.3,25.19,29.0,84.0,2.47,3.8
1990,7,22,27.53,24.9,49.27,90.25,3.12,3.36
1990,7,23,32.46,24.59,5.35,81.69,2.62,2.3
1990,7,24,31.8,25.68,1.33,79.62,1.81,2.31
1990,7,25,32.87,26.37,1.61,77.56,1.89,2.55
1990,7,26,32.33,26.47,1.52,77.88,1.85,2.73
1990,7,27,33.01,26.27,2.22,74.44,1.53,1.82
1990,7,28,32.23,26.31,2.82,74.69,2.09,2.65
1990,7,29,31.91,25.76,13.01,77.81,2.4,1.53
1990,7,30,28.87,26.19,1.49,83.19,1.46,1.77
1990,7,31,33.53,25.44,0.69,74.81,1.81,2.27
1990,8,1,34.09,25.9,0.12,67.56,2.29,2.66
1990,8,2,34.49,26.19,0.36,70.88,2.03,2.86
1990,8,3,33.89,26.09,7.48,74.25,2.12,3.43
1990,8,4,34.23,26.02,1.49,76.88,2.03,2.35
1990,8,5,33.3,26.51,2.48,75.25,1.92,2.61
1990,8,6,31.89,26.05,0.31,75.31,1.91,2.31
1990,8,7,32.26,25.87,0.2,74.12,2.11,2.07
1990,8,8,33.48,26.1,0.11,73.19,2.17,2.38
1990,8,9,34.18,26.5,0.09,72.0,2.09,2.8
1990,8,10,33.95,26.58,0.29,71.81,1.73,2.17
1990,8,11,32.73,26.02,0.92,73.69,1.4,2.37
1990,8,12,32.04,25.83,0.05,73.56,1.87,2.87
1990,8,13,31.5,25.87,0.17,76.94,2.41,1.73
1990,8,14,33.95,25.14,3.04,71.25,2.59,3.07
1990,8,15,31.75,25.54,9.53,69.56,1.59,2.45
1990,8,16,29.23,25.34,23.97,83.38,2.4,1.85
1990,8,17,30.72,25.03,1.94,80.19,2.96,2.43
1990,8,18,32.73,25.38,0.55,77.0,2.73,0.99
1990,8,19,33.02,25.76,0.19,71.69,3.12,4.16
1990,8,20,33.13,26.0,0.01,69.69,3.51,3.91
1990,8,21,35.22,26.35,0.0,64.38,4.34,3.48
1990,8,22,35.55,26.33,0.01,64.5,3.21,2.55
1990,8,23,36.8,25.83,0.05,65.75,2.63,2.02
1990,8,24,35.41,27.58,0.3,67.62,2.8,4.08
1990,8,25,31.7,26.99,0.13,69.69,1.18,1.89
1990,8,26,31.37,25.5,9.44,74.0,2.1,3.14
1990,8,27,30.09,24.92,35.13,84.06,3.17,3.49
1990,8,28,27.96,24.76,24.46,88.25,6.01,5.84
1990,8,29,29.43,25.33,59.47,81.56,7.45,5.03
1990,8,30,33.98,25.83,1.46,74.88,1.88,3.57
1990,8,31,33.1,26.26,0.41,76.44,1.72,2.18
1990,9,1,33.2,25.42,2.34,78.56,2.07,3.09
1990,9,2,29.26,26.02,4.87,85.5,1.76,1.99
1990,9,3,30.77,25.37,13.08,81.19,2.31,2.73
1990,9,4,29.25,24.85,15.53,80.56,1.76,3.29
1990,9,5,31.08,24.15,0.61,76.75,1.97,3.34
1990,9,6,32.32,24.79,0.4,76.44,1.86,2.52
1990,9,7,31.48,25.37,2.42,81.81,1.99,3.3
1990,9,8,32.08,25.08,2.32,80.12,2.15,2.12
1990,9,9,33.78,25.62,0.24,73.81,1.82,1.95
1990,9,10,34.55,25.36,0.4,69.25,2.29,3.03
1990,9,11,32.36,25.87,0.4,74.75,1.22,1.63
1990,9,12,31.01,25.93,0.35,75.25,2.01,2.83
1990,9,13,31.44,25.12,0.37,76.75,1.95,2.3
1990,9,14,31.65,25.41,0.18,79.12,1.92,1.83
1990,9,15,31.05,25.69,0.57,79.81,2.11,2.91
1990,9,16,29.49,25.23,1.16,83.31,3.41,2.23
1990,9,17,28.19,25.28,9.94,86.69,7.23,6.68
1990,9,18,26.73,24.81,114.84,86.81,14.13,5.23
1990,9,19,31.48,25.67,13.07,75.75,5.55,9.3
1990,9,20,29.83,24.62,3.29,86.81,3.05,1.91
1990,9,21,29.97,24.94,2.33,88.38,2.88,2.0
1990,9,22,30.65,24.27,0.96,84.19,3.76,2.15
1990,9,23,30.07,23.89,0.35,82.62,2.7,1.87
1990,9,24,30.35,24.01,0.29,81.19,2.36,2.16
1990,9,25,29.64,23.83,1.23,77.88,2.02,2.38
1990,9,26,29.58,23.3,14.13,80.0,1.98,3.22
1990,9,27,30.07,23.69,1.04,80.81,2.55,2.35
1990,9,28,29.3,24.42,3.42,82.06,2.0,2.12
1990,9,29,29.12,24.18,1.79,80.75,1.9,2.93
1990,9,30,28.98,23.89,8.88,80.19,1.76,3.25
1990,10,1,28.87,23.9,4.25,83.75,2.38,2.95
1990,10,2,28.51,23.61,10.92,86.0,3.37,4.62
1990,10,3,26.44,24.66,24.89,93.75,6.52,4.88
1990,10,4,27.98,25.05,12.08,90.81,6.15,2.33
1990,10,5,29.06,25.03,6.65,89.62,3.19,2.47
1990,10,6,28.68,24.78,8.33,87.75,2.34,2.16
1990,10,7,27.2,24.15,22.02,90.88,3.16,2.14
1990,10,8,28.27,23.71,4.18,83.88,2.7,2.55
1990,10,9,28.02,22.71,1.3,81.38,2.96,1.5
1990,10,10,28.05,23.4,2.85,82.88,4.36,2.04
1990,10,11,27.96,23.18,5.47,83.75,4.23,2.63
1990,10,12,27.19,22.3,1.72,82.44,3.55,2.06
1990,10,13,26.82,22.67,22.88,85.38,4.48,3.57
1990,10,14,25.83,24.2,51.08,92.81,6.56,4.36
1990,10,15,25.69,24.32,33.23,93.75,5.77,3.52
1990,10,16,26.32,24.05,16.69,92.81,4.16,3.06
1990,10,17,27.12,23.85,17.87,90.94,3.43,2.31
1990,10,18,26.23,24.3,31.38,93.69,5.47,2.79
1990,10,19,26.38,24.09,35.08,94.0,5.78,4.14
1990,10,20,27.83,23.9,8.75,90.19,3.5,1.84
1990,10,21,29.04,23.67,5.8,88.0,2.82,1.39
1990,10,22,28.8,23.83,5.02,87.62,3.0,1.68
1990,10,23,29.39,24.15,5.06,87.62,3.12,1.48
1990,10,24,29.38,23.55,3.37,85.44,2.69,1.53
1990,10,25,28.09,23.69,15.38,85.94,3.52,2.76
1990,10,26,27.63,23.73,5.57,86.44,4.82,2.04
1990,10,27,27.66,23.39,11.63,85.81,4.52,2.79
1990,10,28,27.76,23.32,11.97,86.5,4.45,2.87
1990,10,29,27.75,23.22,5.4,86.12,4.23,1.96
1990,10,30,28.15,23.22,2.08,85.75,4.25,2.29
1990,10,31,28.47,23.26,1.03,85.69,4.03,2.3
1990,11,1,28.77,23.55,2.91,85.69,3.08,1.5
1990,11,2,28.82,23.3,3.73,85.0,2.79,2.2
1990,11,3,30.25,23.36,1.07,80.44,2.54,2.34
1990,11,4,30.0,23.72,0.11,83.56,2.68,2.4
1990,11,5,30.48,24.43,1.87,85.56,2.38,2.55
1990,11,6,28.75,24.7,1.36,86.5,1.37,2.23
1990,11,7,29.58,24.19,1.82,83.81,1.97,2.14
1990,11,8,29.76,23.63,8.23,84.88,2.75,2.11
1990,11,9,28.81,20.8,7.15,85.19,5.2,7.58
1990,11,10,22.26,20.01,2.43,83.81,6.27,2.98
1990,11,11,23.53,20.56,31.58,88.38,5.92,1.69
1990,11,12,25.2,22.33,104.2,93.06,8.47,3.3
1990,11,13,26.61,23.62,22.2,89.12,6.08,4.62
1990,11,14,25.99,22.26,1.3,83.25,5.49,2.6
1990,11,15,23.36,22.27,69.18,89.75,9.3,4.25
1990,11,16,25.58,22.47,57.47,90.44,10.47,4.71
1990,11,17,30.17,21.49,1.2,81.56,2.95,4.16
1990,11,18,28.69,22.6,0.31,85.06,2.48,1.65
1990,11,19,28.06,22.28,0.07,82.88,2.07,2.05
1990,11,20,27.51,22.76,7.01,85.94,3.11,4.72
1990,11,21,26.91,23.0,15.51,89.0,5.17,3.74
1990,11,22,25.69,22.68,50.92,89.81,5.67,3.59
1990,11,23,25.75,22.13,17.12,87.81,4.6,2.84
1990,11,24,25.72,21.51,3.7,85.44,3.95,2.55
1990,11,25,25.44,21.22,5.67,85.44,4.21,3.2
1990,11,26,25.06,20.8,1.12,82.19,3.88,2.35
1990,11,27,25.17,20.82,2.08,82.56,3.8,1.52
1990,11,28,25.44,20.48,0.21,80.0,3.1,2.48
1990,11,29,25.13,20.35,0.28,77.81,2.02,1.74
1990,11,30,24.73,20.48,1.56,79.5,3.43,3.55
1990,12,1,20.63,17.87,0.98,77.62,5.26,3.14
1990,12,2,21.33,17.65,2.55,77.44,4.69,2.35
1990,12,3,21.3,17.75,10.31,84.75,5.8,3.12
1990,12,4,21.57,19.17,10.17,84.25,5.91,3.11
1990,12,5,21.77,18.86,1.41,82.56,4.84,1.89
1990,12,6,23.44,18.89,0.73,84.06,4.32,1.79
1990,12,7,24.03,19.87,0.34,86.31,3.84,1.77
1990,12,8,25.16,20.31,0.99,89.06,3.59,2.21
1990,12,9,25.56,20.9,2.48,90.06,3.63,2.09
1990,12,10,25.62,20.84,5.1,90.5,3.27,1.55
1990,12,11,25.99,21.4,1.43,90.0,3.73,2.68
1990,12,12,25.83,20.8,1.26,88.56,3.3,3.05
1990,12,13,25.72,20.87,2.73,89.38,3.39,2.85
1990,12,14,25.58,20.57,1.4,89.0,3.34,2.26
1990,12,15,25.23,20.29,0.8,87.75,3.74,2.6
1990,12,16,24.84,20.16,0.72,86.0,3.45,2.49
1990,12,17,25.18,20.26,1.77,88.62,3.84,2.57
1990,12,18,25.24,20.48,1.43,87.69,3.7,2.38
1990,12,19,25.51,20.37,0.05,82.75,2.87,1.49
1990,12,20,25.4,20.33,0.08,80.56,2.03,1.77
1990,12,21,25.68,20.33,1.16,84.88,2.57,2.5
1990,12,22,24.6,20.02,3.75,84.56,4.02,3.05
1990,12,23,23.87,19.22,2.93,83.25,3.86,1.44
1990,12,24,23.44,18.6,0.3,84.44,3.3,2.16
1990,12,25,24.78,19.9,2.48,88.06,3.3,2.42
1990,12,26,24.98,20.65,8.18,88.94,4.12,3.07
1990,12,27,24.72,20.23,9.52,84.0,3.7,2.02
1990,12,28,24.71,19.55,1.95,80.75,3.53,2.31
1990,12,29,25.08,19.76,0.16,80.25,2.62,1.57
1990,12,30,25.47,19.22,0.18,82.81,1.99,2.34
1990,12,31,26.83,18.33,0.0,84.06,2.4,2.09
1991,1,1,27.47,20.16,0.09,87.5,2.24,2.12
1991,1,2,26.09,20.72,2.52,87.94,3.2,2.05
1991,1,3,25.49,20.58,13.27,88.19,3.86,2.53
1991,1,4,26.43,20.82,2.37,88.5,3.51,2.58
1991,1,5,25.99,20.62,7.62,89.25,3.07,2.09
1991,1,6,25.49,20.14,0.54,87.5,2.66,2.28
1991,1,7,26.16,20.43,0.17,83.56,2.44,2.09
1991,1,8,25.79,20.4,1.08,80.38,2.24,1.88
1991,1,9,25.03,19.92,5.24,84.56,4.01,2.43
1991,1,10,25.83,18.52,0.06,83.0,3.19,1.41
1991,1,11,25.77,18.58,0.04,82.19,2.3,1.84
1991,1,12,25.09,19.81,0.11,81.56,2.84,2.48
1991,1,13,25.42,19.64,0.12,84.75,3.64,2.5
1991,1,14,25.05,19.8,0.72,83.12,3.34,1.73
1991,1,15,23.1,19.75,6.32,88.5,4.88,3.67
1991,1,16,24.42,19.37,0.15,83.31,4.21,2.59
1991,1,17,24.79,19.26,0.34,81.25,3.46,1.58
1991,1,18,24.83,19.18,0.55,77.38,2.95,0.96
1991,1,19,25.44,18.93,0.01,80.5,2.73,2.39
1991,1,20,26.29,18.36,0.0,86.38,3.04,1.74
1991,1,21,27.05,20.03,0.0,87.75,2.85,0.98
1991,1,22,26.72,20.9,0.01,87.0,3.1,1.87
1991,1,23,25.68,20.32,0.01,84.38,3.27,2.14
1991,1,24,25.84,20.26,0.05,81.94,2.78,1.46
1991,1,25,25.83,20.76,0.53,84.12,2.88,2.26
1991,1,26,25.61,20.36,1.15,85.81,3.43,2.54
1991,1,27,24.14,20.11,1.25,84.0,4.09,2.54
1991,1,28,24.44,19.73,1.69,83.62,4.11,3.0
1991,1,29,23.18,19.15,7.32,84.38,4.57,2.85
1991,1,30,22.89,18.79,1.38,83.25,4.16,1.8
1991,1,31,23.63,18.76,3.53,84.0,4.24,1.29
1991,2,1,22.73,18.51,1.01,83.31,4.55,2.23
1991,2,2,23.13,18.23,1.92,83.56,3.93,1.8
1991,2,3,23.62,18.69,0.22,82.62,3.8,1.77
1991,2,4,23.61,18.71,0.22,81.75,3.8,2.09
1991,2,5,23.74,18.78,0.18,81.06,3.58,2.6
1991,2,6,24.7,18.83,0.0,77.5,2.52,1.02
1991,2,7,24.65,18.11,0.0,79.44,2.91,2.18
1991,2,8,25.69,16.51,0.0,85.56,3.2,2.03
1991,2,9,26.61,18.9,0.0,86.0,3.04,1.75
1991,2,10,27.01,18.34,0.0,86.0,3.2,1.15
1991,2,11,26.99,18.89,0.0,86.0,3.38,1.95
1991,2,12,27.56,19.17,0.0,84.38,3.85,2.03
1991,2,13,30.55,20.13,0.0,77.25,2.43,1.74
1991,2,14,31.81,21.48,0.0,73.0,1.95,2.58
1991,2,15,26.88,20.08,0.02,84.62,3.41,5.65
1991,2,16,26.4,19.87,0.08,82.94,1.76,2.99
1991,2,17,27.46,21.7,1.58,89.31,3.12,2.95
1991,2,18,27.4,21.51,0.05,86.5,2.96,2.34
1991,2,19,27.15,20.56,0.35,85.81,2.8,2.21
1991,2,20,24.71,19.78,18.08,88.94,4.55,4.62
1991,2,21,22.51,19.09,21.03,87.12,4.7,3.36
1991,2,22,22.5,18.44,2.86,85.62,4.55,2.44
1991,2,23,21.94,17.96,0.36,77.88,3.88,2.36
1991,2,24,22.6,17.52,0.71,81.56,3.68,2.28
1991,2,25,24.26,18.57,0.29,81.88,3.41,2.32
1991,2,26,25.7,19.37,0.0,85.06,3.27,2.61
1991,2,27,27.83,19.37,0.0,87.81,3.52,2.78
