-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1990 through 11/01/2021 
Location: Latitude  10.7393   Longitude 106.6769 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 13.02 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_RANGE     MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,WS10M_RANGE
1990,3,30,35.41,26.12,0.0,61.0,5.6,4.06
1990,3,31,35.13,25.54,0.0,63.25,4.53,4.95
1990,4,1,36.2,26.08,0.0,63.12,4.02,5.18
1990,4,2,35.33,26.68,0.0,64.81,4.27,4.21
1990,4,3,35.62,26.56,0.0,65.19,4.61,4.1
1990,4,4,35.23,27.3,0.0,65.69,6.09,4.52
1990,4,5,34.79,26.08,0.0,64.19,8.98,6.07
1990,4,6,34.89,26.37,0.02,63.62,8.02,5.89
1990,4,7,31.9,27.05,0.05,71.44,6.32,1.73
1990,4,8,34.43,26.47,0.01,69.25,7.05,3.53
1990,4,9,34.86,26.24,0.0,63.75,7.45,3.53
1990,4,10,35.07,26.39,0.0,65.75,5.59,3.48
1990,4,11,35.62,26.42,0.02,64.56,4.19,4.57
1990,4,12,36.54,26.99,0.0,64.25,4.3,4.66
1990,4,13,34.03,27.46,0.18,66.31,4.42,3.58
1990,4,14,34.34,26.97,0.05,66.31,4.75,3.75
1990,4,15,34.77,27.19,0.94,66.94,3.89,3.05
1990,4,16,35.14,27.79,4.19,66.38,4.18,2.88
1990,4,17,36.09,26.94,0.16,68.19,4.95,4.04
1990,4,18,33.92,27.58,0.2,70.25,4.61,2.45
1990,4,19,35.37,27.28,0.22,69.38,4.12,3.46
1990,4,20,35.51,27.83,0.14,68.69,4.26,2.62
1990,4,21,37.95,28.18,0.04,58.69,3.56,2.74
1990,4,22,37.44,27.81,0.01,61.62,4.56,3.09
1990,4,23,36.62,28.05,0.02,64.94,4.34,3.45
1990,4,24,34.19,27.96,1.8,69.88,3.83,2.8
1990,4,25,35.69,27.19,0.01,65.81,5.05,5.19
1990,4,26,36.58,28.3,0.26,63.12,6.66,3.97
1990,4,27,32.98,28.25,0.35,65.75,8.57,2.94
1990,4,28,35.31,27.02,0.13,66.06,7.58,5.09
1990,4,29,34.78,27.01,0.45,66.94,7.15,6.01
1990,4,30,36.07,27.5,0.62,64.75,7.09,5.41
1990,5,1,36.75,27.45,0.01,64.19,6.45,3.6
1990,5,2,35.8,27.73,0.03,66.25,5.8,3.84
1990,5,3,35.69,27.71,0.01,63.69,5.37,2.98
1990,5,4,36.58,27.14,0.11,63.0,4.19,5.22
1990,5,5,34.31,27.83,0.47,64.62,6.41,2.3
1990,5,6,36.15,27.95,0.02,62.62,6.45,2.58
1990,5,7,36.83,27.66,0.02,63.44,6.11,3.66
1990,5,8,35.57,27.9,0.76,65.25,5.59,3.55
1990,5,9,33.84,28.14,0.04,67.56,4.9,3.09
1990,5,10,34.58,27.55,0.01,66.31,4.27,3.49
1990,5,11,35.05,27.5,0.0,63.94,3.06,2.22
1990,5,12,36.33,27.9,0.52,61.62,3.18,4.03
1990,5,13,32.76,28.69,0.0,65.62,2.09,2.95
1990,5,14,35.47,28.05,0.0,62.81,3.55,3.37
1990,5,15,37.26,27.51,0.05,61.06,3.77,5.8
1990,5,16,34.2,28.35,2.37,62.69,2.12,4.07
1990,5,17,35.01,27.29,1.21,67.31,3.85,4.01
1990,5,18,34.9,27.84,1.33,69.94,4.16,4.06
1990,5,19,30.98,27.37,4.79,78.5,3.01,2.34
1990,5,20,30.2,26.85,7.36,82.38,2.61,1.69
1990,5,21,35.4,26.67,1.41,73.25,2.59,5.67
1990,5,22,31.87,27.15,1.7,76.0,3.07,3.28
1990,5,23,30.91,26.69,1.3,77.81,3.41,2.6
1990,5,24,31.19,25.87,2.01,77.12,3.33,2.48
1990,5,25,31.96,25.39,3.43,77.38,4.39,3.53
1990,5,26,32.48,25.59,2.92,78.12,4.56,2.86
1990,5,27,33.12,26.0,1.56,75.75,5.04,2.74
1990,5,28,32.03,26.43,11.15,78.5,5.12,3.7
1990,5,29,31.14,26.16,6.37,82.44,4.38,3.87
1990,5,30,32.62,26.4,1.27,77.25,4.53,3.6
1990,5,31,32.71,25.98,0.79,75.0,4.24,3.68
1990,6,1,33.22,26.51,0.56,72.62,5.07,3.02
1990,6,2,32.23,26.18,6.84,77.62,4.12,3.61
1990,6,3,31.39,26.3,0.19,78.56,3.16,2.17
1990,6,4,31.28,26.65,2.46,79.25,2.18,2.91
1990,6,5,32.39,26.24,7.36,77.19,1.77,1.79
1990,6,6,29.76,26.69,14.1,85.31,2.16,1.82
1990,6,7,31.27,25.98,1.21,78.25,2.07,1.6
1990,6,8,31.68,26.27,11.06,80.94,3.8,2.68
1990,6,9,30.3,26.04,14.83,85.12,5.55,3.12
1990,6,10,31.14,25.26,14.31,82.81,4.77,2.38
1990,6,11,30.87,25.42,3.99,82.38,6.05,3.73
1990,6,12,29.05,24.94,2.16,83.06,5.03,4.04
1990,6,13,30.87,24.75,2.91,78.69,6.95,4.0
1990,6,14,30.46,25.31,2.69,83.19,5.34,3.81
1990,6,15,29.61,25.26,23.36,84.69,6.93,5.0
1990,6,16,28.69,24.8,7.6,84.25,7.66,3.57
1990,6,17,30.15,24.73,3.74,82.38,6.08,4.77
1990,6,18,32.15,25.24,0.3,76.62,6.35,4.15
1990,6,19,31.99,24.73,4.53,79.75,6.11,4.02
1990,6,20,29.75,25.54,17.83,87.88,5.45,2.9
1990,6,21,28.29,25.99,24.49,90.12,6.59,3.77
1990,6,22,28.63,25.6,7.41,89.62,5.24,4.68
1990,6,23,30.13,25.58,8.6,87.5,4.55,3.33
1990,6,24,30.08,25.69,4.82,87.25,4.63,3.99
1990,6,25,29.37,25.51,37.49,91.06,4.8,2.77
1990,6,26,28.93,25.35,7.77,89.69,3.8,2.62
1990,6,27,28.05,25.1,4.74,88.44,5.26,3.77
1990,6,28,29.08,24.58,2.29,86.81,4.2,2.47
1990,6,29,31.32,24.4,0.67,83.06,4.92,3.98
1990,6,30,30.76,24.46,0.24,83.81,4.78,4.07
1990,7,1,30.41,25.27,2.59,86.06,4.4,2.95
1990,7,2,29.62,25.22,0.03,87.06,3.86,2.22
1990,7,3,31.43,24.5,0.28,82.88,4.27,2.79
1990,7,4,30.62,25.15,0.08,84.25,3.42,2.16
1990,7,5,29.79,25.44,0.52,84.12,2.7,0.69
1990,7,6,31.52,24.65,0.05,81.06,3.41,1.87
1990,7,7,30.9,24.84,0.31,81.88,3.98,2.22
1990,7,8,30.12,25.18,2.35,85.25,3.95,2.2
1990,7,9,30.23,25.25,1.94,85.94,5.07,3.77
1990,7,10,30.0,25.62,0.94,84.75,4.74,3.8
1990,7,11,30.1,25.3,4.69,86.19,4.02,2.8
1990,7,12,31.1,24.96,1.32,81.94,4.02,2.45
1990,7,13,30.58,24.9,7.91,83.94,4.86,2.05
1990,7,14,30.43,24.58,1.65,83.06,3.63,2.18
1990,7,15,29.2,24.45,0.99,85.38,3.68,1.92
1990,7,16,30.44,24.68,0.86,80.56,3.98,2.23
1990,7,17,27.69,24.49,10.59,88.06,4.27,2.99
1990,7,18,29.68,24.16,3.53,84.75,4.17,2.21
1990,7,19,30.17,24.62,7.21,85.5,4.57,2.92
1990,7,20,28.16,24.59,21.51,88.88,5.69,2.27
1990,7,21,28.65,24.43,37.26,88.62,5.84,2.15
1990,7,22,28.8,24.48,5.51,86.69,6.09,3.47
1990,7,23,30.43,24.59,3.3,84.5,5.95,4.45
1990,7,24,30.14,24.58,1.06,84.81,4.62,3.23
1990,7,25,29.95,24.85,1.02,86.44,4.75,3.0
1990,7,26,30.15,25.13,0.79,87.44,4.39,2.97
1990,7,27,30.08,25.27,12.04,87.75,4.6,3.27
1990,7,28,29.81,25.48,0.38,87.56,4.55,1.78
1990,7,29,29.45,25.39,1.21,88.06,4.88,3.27
1990,7,30,30.21,25.39,8.04,86.69,5.52,3.9
1990,7,31,29.3,25.23,14.93,88.75,5.16,4.66
1990,8,1,29.62,24.96,5.63,87.81,3.53,2.14
1990,8,2,29.51,25.23,6.42,87.62,3.43,1.55
1990,8,3,29.15,25.11,47.84,89.69,3.49,2.16
1990,8,4,29.21,25.26,37.13,89.5,4.32,2.46
1990,8,5,29.22,24.65,5.21,87.5,3.84,1.35
1990,8,6,28.14,24.64,12.07,87.56,2.53,2.8
1990,8,7,29.47,24.44,0.44,86.44,2.3,1.83
1990,8,8,29.07,24.86,0.99,87.44,2.84,2.84
1990,8,9,29.41,24.78,1.74,87.5,3.63,2.66
1990,8,10,30.5,23.95,2.8,85.06,3.04,1.98
1990,8,11,29.3,24.83,1.0,88.88,4.93,2.88
1990,8,12,28.23,24.57,2.07,88.56,4.74,2.84
1990,8,13,27.48,23.89,6.81,89.06,3.97,3.03
1990,8,14,28.78,24.15,13.82,88.56,6.03,2.77
1990,8,15,27.69,23.79,11.98,89.81,6.38,3.45
1990,8,16,27.86,24.59,26.7,92.25,6.84,3.52
1990,8,17,26.98,24.08,2.36,90.06,7.67,6.02
1990,8,18,28.85,24.23,3.05,87.75,7.18,2.76
1990,8,19,28.28,24.65,12.37,90.38,5.71,3.52
1990,8,20,28.87,24.41,6.09,88.19,5.28,4.59
1990,8,21,29.7,23.89,1.29,85.69,5.27,5.03
1990,8,22,30.74,24.41,0.51,84.88,6.38,4.97
1990,8,23,29.91,24.9,2.43,87.44,6.26,4.2
1990,8,24,29.01,24.89,2.78,90.62,5.08,5.03
1990,8,25,30.17,24.69,4.22,87.31,4.67,2.55
1990,8,26,31.3,24.47,5.06,84.38,5.05,3.9
1990,8,27,30.45,24.59,9.33,84.94,5.26,4.16
1990,8,28,28.4,25.16,10.39,89.0,7.24,3.85
1990,8,29,29.3,25.37,2.0,86.88,8.42,4.82
1990,8,30,29.86,25.87,2.76,88.44,6.36,5.93
1990,8,31,29.76,25.62,5.97,89.94,3.62,3.16
1990,9,1,30.04,24.95,0.2,89.0,3.38,2.2
1990,9,2,29.87,25.33,4.48,88.44,4.48,2.87
1990,9,3,27.6,25.07,18.86,92.19,6.34,4.46
1990,9,4,29.12,24.91,15.7,88.81,5.33,2.9
1990,9,5,28.42,24.76,1.94,90.0,5.02,2.43
1990,9,6,29.52,23.91,0.18,86.88,3.55,1.91
1990,9,7,29.38,24.7,0.37,88.19,4.61,3.38
1990,9,8,29.17,24.63,0.66,89.38,5.04,3.65
1990,9,9,28.89,25.06,3.17,89.44,4.71,3.91
1990,9,10,29.72,24.84,0.1,86.75,3.57,1.99
1990,9,11,29.93,24.82,0.39,86.31,3.57,2.56
1990,9,12,30.12,24.43,1.17,84.94,3.67,3.04
1990,9,13,30.26,24.37,0.08,86.06,3.16,1.59
1990,9,14,29.61,24.8,0.38,88.06,2.81,1.16
1990,9,15,30.76,25.01,3.44,84.44,3.33,2.23
1990,9,16,28.65,24.6,7.63,87.88,4.16,2.7
1990,9,17,29.73,24.36,8.65,88.38,4.66,3.01
1990,9,18,28.15,25.19,15.55,92.38,6.17,3.95
1990,9,19,29.33,25.0,1.75,89.81,5.04,2.8
1990,9,20,28.83,24.8,0.4,88.62,3.09,2.13
1990,9,21,30.31,24.55,0.39,85.56,2.34,2.0
1990,9,22,30.33,24.51,1.29,84.94,2.17,3.22
1990,9,23,30.01,24.83,16.53,84.38,2.96,2.29
1990,9,24,29.03,25.14,1.64,87.0,2.97,2.54
1990,9,25,29.45,24.86,3.91,84.38,1.89,2.97
1990,9,26,27.23,24.94,11.31,90.75,3.43,1.66
1990,9,27,28.85,24.52,6.56,87.44,3.04,4.03
1990,9,28,28.77,23.83,44.55,89.69,2.93,2.29
1990,9,29,27.64,24.24,8.72,91.0,3.34,2.24
1990,9,30,28.47,24.37,4.88,88.88,1.91,2.47
1990,10,1,28.83,24.43,6.62,88.06,3.46,4.25
1990,10,2,28.48,23.87,16.75,89.44,3.09,3.12
1990,10,3,27.3,24.65,9.94,93.06,5.51,2.78
1990,10,4,28.65,24.93,12.47,89.94,5.59,2.85
1990,10,5,28.34,24.8,3.76,91.12,3.63,2.27
1990,10,6,29.84,24.16,1.33,87.69,3.55,4.14
1990,10,7,29.0,23.91,0.47,87.19,2.8,1.95
1990,10,8,29.26,24.3,3.73,88.62,2.18,1.88
1990,10,9,29.72,24.87,1.8,85.81,3.8,2.52
1990,10,10,31.02,24.88,1.42,82.25,2.73,1.45
1990,10,11,30.15,24.37,1.39,86.56,3.25,3.42
1990,10,12,28.16,24.87,0.64,89.0,2.32,2.87
1990,10,13,30.69,24.26,0.53,83.12,2.48,3.02
1990,10,14,29.95,24.49,0.63,85.94,3.55,1.91
1990,10,15,30.5,24.67,2.51,85.62,3.41,0.95
1990,10,16,28.71,25.13,0.01,85.56,1.92,1.79
1990,10,17,28.86,25.18,0.64,88.44,2.32,2.74
1990,10,18,26.98,25.28,5.13,93.44,4.69,1.6
1990,10,19,29.74,24.96,7.9,88.12,4.04,3.45
1990,10,20,30.37,24.72,0.81,85.5,2.54,0.98
1990,10,21,29.71,24.57,4.76,86.5,2.16,0.7
1990,10,22,30.23,25.87,14.76,84.12,1.95,2.98
1990,10,23,29.44,25.42,17.82,88.19,4.02,2.26
1990,10,24,30.29,24.68,2.57,86.31,4.97,2.93
1990,10,25,30.73,24.17,13.77,83.88,4.34,2.86
1990,10,26,30.44,23.73,31.14,85.12,4.62,3.19
1990,10,27,28.48,24.51,12.62,89.5,4.75,2.7
1990,10,28,29.02,24.63,1.13,86.69,5.52,3.88
1990,10,29,29.92,24.11,1.54,84.88,5.05,3.84
1990,10,30,29.69,23.37,1.04,84.88,4.86,4.55
1990,10,31,30.28,23.8,1.22,86.0,5.31,4.99
1990,11,1,30.71,24.05,2.13,85.5,4.74,3.09
1990,11,2,30.76,23.51,1.85,86.56,3.96,2.76
1990,11,3,30.56,24.98,0.48,81.75,2.01,1.81
1990,11,4,30.3,25.05,0.42,82.0,2.59,2.5
1990,11,5,28.87,24.71,3.41,87.31,2.84,1.98
1990,11,6,30.17,24.3,4.99,87.5,2.84,1.83
1990,11,7,27.71,24.7,2.4,91.44,3.38,2.88
1990,11,8,28.84,24.29,2.79,89.25,2.08,1.03
1990,11,9,25.96,24.67,5.48,92.19,2.54,1.52
1990,11,10,27.44,23.73,5.35,88.88,1.76,2.52
1990,11,11,29.29,22.39,0.52,83.5,3.01,4.14
1990,11,12,29.27,22.16,4.72,84.31,5.84,3.93
1990,11,13,27.83,21.84,2.26,84.38,2.05,3.21
1990,11,14,29.37,23.87,0.89,83.19,2.03,2.62
1990,11,15,28.94,23.43,0.69,85.75,4.4,2.79
1990,11,16,29.57,22.54,1.91,83.12,4.24,2.89
1990,11,17,29.97,22.27,0.19,82.94,2.77,1.85
1990,11,18,29.8,23.89,0.01,85.0,1.76,2.5
1990,11,19,29.9,24.55,0.01,85.38,3.59,2.51
1990,11,20,30.37,23.62,0.36,84.12,3.27,3.02
1990,11,21,30.33,23.93,0.72,84.25,5.95,7.72
1990,11,22,30.59,22.65,0.03,81.06,5.83,4.77
1990,11,23,30.48,22.64,0.0,80.69,5.94,4.64
1990,11,24,30.25,22.23,0.0,79.94,4.12,2.48
1990,11,25,30.37,21.26,0.0,78.38,4.1,2.43
1990,11,26,30.07,22.1,0.0,77.38,3.73,2.83
1990,11,27,30.03,21.74,0.0,78.06,3.01,2.55
1990,11,28,30.05,22.71,4.36,78.12,2.52,2.12
1990,11,29,29.08,22.4,1.82,80.12,3.13,1.47
1990,11,30,28.98,22.06,0.0,79.0,3.88,2.18
1990,12,1,28.75,20.98,0.0,74.88,4.77,3.97
1990,12,2,28.96,18.62,0.0,71.56,3.46,3.38
1990,12,3,30.23,19.54,0.01,77.56,3.78,1.28
1990,12,4,30.38,21.73,0.44,77.12,5.36,4.54
1990,12,5,29.53,19.47,0.0,72.62,3.28,2.84
1990,12,6,29.96,20.03,0.0,74.06,2.5,2.56
1990,12,7,30.51,22.77,0.0,78.38,3.77,4.04
1990,12,8,30.94,22.11,0.0,79.56,3.66,3.46
1990,12,9,30.39,22.71,0.01,77.81,3.98,3.68
1990,12,10,30.05,23.19,0.04,79.12,5.36,5.64
1990,12,11,30.55,22.64,0.09,78.56,5.35,4.26
1990,12,12,30.23,22.33,0.0,78.06,4.17,4.27
1990,12,13,30.65,22.26,0.44,78.44,4.41,4.89
1990,12,14,31.3,22.6,0.25,77.44,4.23,3.55
1990,12,15,31.33,21.9,0.0,76.62,4.85,4.12
1990,12,16,30.55,22.24,0.02,76.94,4.23,3.26
1990,12,17,30.76,22.67,1.06,77.38,4.62,4.66
1990,12,18,30.89,22.8,0.28,79.06,5.02,4.96
1990,12,19,29.48,23.16,0.07,81.69,4.54,3.41
1990,12,20,30.93,22.8,0.0,79.44,4.02,2.7
1990,12,21,31.15,22.62,0.0,80.0,3.34,3.08
1990,12,22,30.37,22.19,0.03,74.81,5.12,4.77
1990,12,23,30.68,21.04,0.0,70.44,3.34,2.9
1990,12,24,31.15,19.76,0.0,71.56,2.69,1.41
1990,12,25,31.16,22.09,0.11,75.81,3.23,4.66
1990,12,26,31.17,23.8,0.24,77.06,5.21,6.9
1990,12,27,30.97,22.27,0.21,72.62,6.54,4.3
1990,12,28,31.72,20.9,0.0,71.12,4.64,2.3
1990,12,29,31.87,21.18,0.0,70.31,4.09,3.02
1990,12,30,32.08,21.51,0.07,75.69,3.32,2.64
1990,12,31,32.67,23.16,0.01,76.69,3.52,4.37
1991,1,1,30.49,23.58,0.01,80.25,4.36,2.83
1991,1,2,32.28,23.42,0.0,73.31,6.35,3.12
1991,1,3,31.92,22.51,0.0,74.06,6.55,5.16
1991,1,4,31.94,22.82,0.0,74.38,6.22,4.73
1991,1,5,31.28,23.22,0.01,76.75,6.7,4.84
1991,1,6,31.14,22.92,0.03,75.94,7.15,3.91
1991,1,7,32.17,22.51,0.0,71.44,6.02,2.35
1991,1,8,32.7,21.9,0.0,71.38,4.98,3.1
1991,1,9,32.29,21.93,0.06,70.06,5.35,3.91
1991,1,10,31.97,21.56,0.01,69.69,4.92,2.85
1991,1,11,32.84,21.31,0.0,70.31,3.76,2.88
1991,1,12,33.14,22.13,0.0,69.06,4.58,2.6
1991,1,13,33.44,22.69,0.0,66.31,5.22,4.35
1991,1,14,33.61,23.34,0.0,61.06,5.94,3.18
1991,1,15,33.08,21.59,0.0,59.19,6.26,5.33
1991,1,16,33.3,21.44,0.03,62.44,6.34,4.71
1991,1,17,33.34,21.55,0.12,63.75,6.27,4.32
1991,1,18,33.49,21.83,0.0,65.31,5.23,3.52
1991,1,19,33.46,22.94,0.02,67.88,4.83,4.61
1991,1,20,33.67,23.64,0.02,69.19,5.71,3.19
1991,1,21,33.58,24.47,0.02,68.81,4.55,2.8
1991,1,22,33.05,24.44,0.02,71.19,5.23,3.98
1991,1,23,33.55,24.11,0.0,63.75,6.05,2.49
1991,1,24,34.16,22.28,0.0,66.0,5.15,4.4
1991,1,25,34.08,23.23,0.11,66.5,6.53,4.68
1991,1,26,33.62,24.9,0.08,64.94,6.27,6.24
1991,1,27,32.98,23.86,0.04,63.44,5.62,5.48
1991,1,28,33.65,23.02,0.25,61.31,5.25,3.32
1991,1,29,33.37,23.0,0.02,61.56,5.13,3.55
1991,1,30,33.78,23.82,0.16,59.56,4.57,3.73
1991,1,31,34.57,23.62,0.0,57.5,3.7,2.59
1991,2,1,33.94,23.59,0.0,57.75,3.99,4.34
1991,2,2,33.9,22.76,0.0,58.88,5.01,4.39
1991,2,3,33.95,22.98,0.0,61.06,4.86,4.53
1991,2,4,34.37,23.6,0.01,60.44,4.99,5.57
1991,2,5,32.14,23.14,0.06,60.94,4.75,3.57
1991,2,6,31.21,23.12,0.02,64.19,4.49,3.46
1991,2,7,34.29,22.3,0.0,67.0,5.12,5.34
1991,2,8,33.05,22.89,0.0,65.88,5.64,2.4
1991,2,9,34.13,22.48,0.0,66.44,5.12,4.05
1991,2,10,34.19,22.69,0.01,66.88,4.35,3.76
1991,2,11,34.44,22.48,0.0,69.75,4.51,4.45
1991,2,12,35.26,22.34,0.0,68.06,3.99,5.79
1991,2,13,35.83,23.48,0.0,69.81,4.06,4.87
1991,2,14,36.62,23.94,0.0,66.19,2.51,5.92
1991,2,15,34.55,23.65,0.0,68.38,3.51,4.45
1991,2,16,33.25,22.81,0.0,72.12,4.34,4.86
1991,2,17,35.13,23.33,0.0,68.88,5.17,5.35
1991,2,18,34.82,25.23,0.03,63.88,6.22,3.06
1991,2,19,33.66,23.94,0.02,66.69,5.25,4.38
1991,2,20,33.96,23.39,0.03,61.88,7.66,6.88
1991,2,21,34.02,23.44,0.04,57.69,8.27,4.74
1991,2,22,34.91,22.37,0.03,52.75,6.55,3.55
1991,2,23,34.73,22.21,0.0,53.19,5.92,4.56
1991,2,24,34.86,21.38,0.0,53.31,6.24,4.42
1991,2,25,34.07,23.23,0.02,56.25,4.74,3.26
1991,2,26,35.35,24.54,0.0,56.81,6.76,5.55
1991,2,27,33.77,25.1,0.0,64.56,7.68,5.16
